date (float),date (string),latitude,longitude,ekman_upwelling,wind_u,wind_v,sst,wind_speed,sst_diff,sst_decrease,upwelling1day,upwelling3day
18878,2021-09-08,34.833,-123.833,2.0551572e-06,2.19,-9.21,16.15,9.466794600074516,,False,0,0
18879,2021-09-09,34.833,-123.833,-3.1592656e-06,4.32,-6.85,16.17,8.098450469071228,0.020000000000003126,False,0,0
18880,2021-09-10,34.833,-123.833,-1.7800281e-06,4.48,-3.7,15.98,5.810370039851163,-0.19000000000000128,True,1,0
18881,2021-09-11,34.833,-123.833,-2.526137441753986e-06,3.51,-8.28,15.78,8.99324746684978,-0.20000000000000107,True,1,0
18882,2021-09-12,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,15.66,6.719014585487964,-0.11999999999999922,True,0,0
18883,2021-09-13,34.833,-123.833,5.9005383e-06,2.76,-11.98,15.32,12.293819585466514,-0.33999999999999986,True,1,0
18884,2021-09-14,34.833,-123.833,-2.8214768e-06,5.77,-10.25,15.44,11.762457226277169,0.11999999999999922,False,0,0
18885,2021-09-15,34.833,-123.833,1.6293676e-07,1.06,-0.67,15.59,1.2539936203984454,0.15000000000000036,False,0,0
18886,2021-09-16,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,15.35,6.719014585487964,-0.2400000000000002,True,0,0
18887,2021-09-17,34.833,-123.833,-3.6027325e-06,2.18,-5.29,15.3,5.721581949076671,-0.049999999999998934,True,1,0
18888,2021-09-18,34.833,-123.833,4.727998e-07,3.47,-1.37,15.44,3.730656778638314,0.1399999999999988,False,0,0
18889,2021-09-19,34.833,-123.833,-1.6438156e-06,3.6,-0.54,16.0,3.6402747149082035,0.5600000000000005,False,0,0
18890,2021-09-20,34.833,-123.833,4.866102e-07,3.57,-9.12,16.38,9.793839900672259,0.379999999999999,False,0,0
18891,2021-09-21,34.833,-123.833,-4.198728e-06,3.28,-6.55,16.59,7.325360059410049,0.21000000000000085,False,0,0
18892,2021-09-22,34.833,-123.833,2.2012724e-08,3.13,-1.92,16.63,3.671961328772404,0.03999999999999915,False,0,0
18893,2021-09-23,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,16.65,6.719014585487964,0.019999999999999574,False,0,0
18894,2021-09-24,34.833,-123.833,-2.620721e-07,3.3,-5.85,16.63,6.716583953171433,-0.019999999999999574,True,1,0
18895,2021-09-25,34.833,-123.833,-8.316263e-08,1.28,-0.56,16.61,1.3971399357258385,-0.019999999999999574,True,0,0
18896,2021-09-26,34.833,-123.833,7.0192397e-07,1.29,-3.41,16.67,3.6458469523555155,0.060000000000002274,False,0,0
18897,2021-09-27,34.833,-123.833,-5.836916e-07,1.66,-1.33,17.03,2.127087210247854,0.35999999999999943,False,0,0
18898,2021-09-28,34.833,-123.833,1.1978089e-05,1.32,-8.26,16.94,8.364807230295268,-0.08999999999999986,True,1,0
18899,2021-09-29,34.833,-123.833,-4.9207424e-06,5.03,-11.67,16.69,12.707863707169668,-0.25,True,1,0
18900,2021-09-30,34.833,-123.833,5.576192e-06,0.94,-9.42,16.84,9.466784036831093,0.14999999999999858,False,0,0
18901,2021-10-01,34.833,-123.833,7.4226396e-06,0.88,-9.67,16.9,9.709958805267918,0.05999999999999872,False,0,0
18902,2021-10-02,34.833,-123.833,-7.5121e-08,-0.38,-7.55,16.62,7.5595568653195535,-0.2799999999999976,True,0,0
18903,2021-10-03,34.833,-123.833,-2.3958083e-07,0.84,-3.72,16.99,3.813659659696969,0.36999999999999744,False,0,0
18904,2021-10-04,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,17.06,6.719014585487964,0.07000000000000028,False,0,0
18905,2021-10-05,34.833,-123.833,-1.134608e-06,2.97,-3.19,17.07,4.358554806354968,0.010000000000001563,False,0,0
18906,2021-10-06,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,16.76,6.719014585487964,-0.3099999999999987,True,0,0
18907,2021-10-07,34.833,-123.833,3.0501192e-06,1.72,-8.68,16.78,8.848773926369686,0.019999999999999574,False,0,0
18908,2021-10-08,34.833,-123.833,9.945584e-07,2.34,-8.57,16.66,8.88372106721052,-0.120000000000001,True,1,0
18909,2021-10-09,34.833,-123.833,-3.3133733e-07,2.91,-5.87,16.77,6.551717332119877,0.10999999999999943,False,0,0
18910,2021-10-10,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,17.02,6.719014585487964,0.25,False,0,0
18911,2021-10-11,34.833,-123.833,-2.526137441753986e-06,-0.014,6.719,16.5,6.719014585487964,-0.5199999999999996,True,0,0
